"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 14:50:00";"2";"0";"77";"1,68";"8388608";"910164";"10,85";"0";"6";"64";"6";"6"
"05.11.2015 14:55:00";"2";"0";"92";"2,01";"8388608";"1033476";"12,32";"0";"7";"64";"45";"18"
"05.11.2015 15:00:00";"2";"0";"76";"1,67";"8388608";"1005794";"11,99";"0";"7";"64";"6";"6"
"05.11.2015 15:05:00";"2";"0";"86";"1,88";"8388608";"893387";"10,65";"0";"7";"64";"44";"18"
"05.11.2015 15:10:00";"2";"0";"75";"1,65";"8388608";"1128268";"13,45";"0";"6";"64";"7";"7"
"05.11.2015 15:15:00";"2";"0";"102";"2,24";"8388608";"1291007";"15,39";"0";"7";"64";"44";"18"
"05.11.2015 15:20:00";"2";"0";"77";"1,69";"8388608";"1145045";"13,65";"0";"7";"64";"6";"6"
"05.11.2015 15:25:00";"2";"0";"91";"2";"8388608";"1061159";"12,65";"0";"8";"64";"45";"18"
"05.11.2015 15:30:00";"2";"0";"76";"1,68";"8388608";"1061159";"12,65";"0";"7";"64";"6";"6"
"05.11.2015 15:35:00";"2";"0";"90";"1,97";"8388608";"1083808";"12,92";"0";"8";"64";"44";"18"
"05.11.2015 15:40:00";"2";"0";"79";"1,72";"8388608";"1050254";"12,52";"0";"7";"64";"7";"6"
"05.11.2015 15:45:00";"2";"0";"88";"1,94";"8388608";"977273";"11,65";"0";"8";"64";"44";"17"
"05.11.2015 15:50:00";"2";"0";"77";"1,68";"8388608";"989017";"11,79";"0";"7";"64";"6";"6"
"05.11.2015 15:55:00";"2";"0";"91";"2";"8388608";"999922";"11,92";"0";"8";"64";"45";"18"
"05.11.2015 16:00:00";"2";"0";"75";"1,65";"8388608";"899259";"10,72";"0";"7";"64";"6";"6"
"05.11.2015 16:05:00";"2";"0";"91";"1,99";"8388608";"1140012";"13,59";"0";"8";"64";"46";"19"
"05.11.2015 16:10:00";"2";"0";"78";"1,72";"8388608";"1010827";"12,05";"0";"7";"64";"7";"6"
"05.11.2015 16:15:00";"2";"0";"98";"2,15";"8388608";"1279263";"15,25";"0";"8";"64";"44";"18"
"05.11.2015 16:20:00";"2";"0";"77";"1,68";"8388608";"983145";"11,72";"0";"7";"64";"6";"6"
"05.11.2015 16:25:00";"2";"0";"94";"2,06";"8388608";"1027604";"12,25";"0";"8";"64";"53";"21"
"05.11.2015 16:30:00";"2";"0";"78";"1,71";"8388608";"1050254";"12,52";"0";"7";"64";"6";"6"
"05.11.2015 16:35:00";"2";"0";"91";"1,98";"8388608";"882482";"10,52";"0";"8";"64";"44";"18"
"05.11.2015 16:40:00";"2";"0";"78";"1,7";"8388608";"1005794";"11,99";"0";"7";"64";"7";"6"
"05.11.2015 16:45:00";"2";"0";"88";"1,94";"8388608";"949590";"11,32";"0";"7";"64";"44";"18"
"05.11.2015 16:50:00";"2";"0";"78";"1,71";"8388608";"1005794";"11,99";"0";"8";"64";"6";"6"
"05.11.2015 16:55:00";"2";"0";"92";"2,02";"8388608";"1123235";"13,39";"0";"8";"64";"44";"18"
"05.11.2015 17:00:00";"2";"0";"77";"1,68";"8388608";"983145";"11,72";"0";"7";"64";"6";"6"
"05.11.2015 17:05:00";"2";"0";"91";"1,99";"8388608";"1039349";"12,39";"0";"8";"64";"44";"18"
"05.11.2015 17:10:00";"2";"0";"78";"1,7";"8388608";"882482";"10,52";"0";"7";"64";"7";"6"
"05.11.2015 17:15:00";"2";"0";"102";"2,23";"8388608";"1251580";"14,92";"0";"8";"64";"44";"18"
"05.11.2015 17:20:00";"2";"0";"77";"1,69";"8388608";"1077936";"12,85";"0";"8";"64";"6";"6"
"05.11.2015 17:25:00";"2";"0";"92";"2,01";"8388608";"932813";"11,12";"0";"8";"64";"45";"18"
"05.11.2015 17:30:00";"2";"0";"77";"1,68";"8388608";"854799";"10,19";"0";"7";"64";"7";"6"
"05.11.2015 17:35:00";"2";"0";"91";"1,99";"8388608";"1134140";"13,52";"0";"8";"64";"44";"18"
"05.11.2015 17:40:00";"2";"0";"80";"1,74";"8388608";"1117363";"13,32";"0";"7";"64";"7";"7"
"05.11.2015 17:45:00";"2";"0";"91";"1,99";"8388608";"1027604";"12,25";"0";"8";"64";"44";"18"
"05.11.2015 17:50:00";"2";"0";"79";"1,72";"8388608";"703804";"8,39";"0";"7";"64";"6";"6"
"05.11.2015 17:55:00";"2";"0";"92";"2,01";"8388608";"882482";"10,52";"0";"8";"64";"44";"18"
"05.11.2015 18:00:00";"2";"0";"77";"1,7";"8388608";"826278";"9,85";"0";"8";"64";"6";"6"
"05.11.2015 18:05:00";"2";"0";"91";"1,99";"8388608";"994050";"11,85";"0";"8";"64";"44";"18"
"05.11.2015 18:10:00";"2";"0";"79";"1,73";"8388608";"960496";"11,45";"0";"7";"64";"7";"7"
"05.11.2015 18:15:00";"2";"0";"100";"2,19";"8388608";"1525888";"18,19";"0";"8";"64";"44";"17"
"05.11.2015 18:20:00";"2";"0";"78";"1,71";"8388608";"1161822";"13,85";"0";"6";"64";"6";"6"
"05.11.2015 18:25:00";"2";"0";"90";"1,97";"8388608";"1111491";"13,25";"0";"7";"64";"45";"18"
"05.11.2015 18:30:00";"2";"0";"76";"1,67";"8388608";"994050";"11,85";"0";"7";"64";"6";"6"
"05.11.2015 18:35:00";"2";"0";"89";"1,95";"8388608";"1005794";"11,99";"0";"7";"64";"44";"18"
"05.11.2015 18:40:00";"2";"0";"78";"1,71";"8388608";"1027604";"12,25";"0";"7";"64";"7";"6"
